Euler_angles_0 Euler_angles_1 Euler_angles_2
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3591387 1.7974261 2.579694
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
3.3859651 1.3859955 3.5631742
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
4.3415165 0.49257678 3.3475778
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
5.2731404 0.90783316 4.9878688
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
0.58007145 1.2835274 0.26765391
